Item Code;Item Name;set/20;out/20;nov/20;dez/20;jan/21;fev/21;mar/21;abr/21;mai/21;jun/21;jul/21;ago/21;set/21;out/21;nov/21;dez/21;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22
500109;item 384; $-   ; $-   ; $1.000 ; $400 ; $200 ; $200 ; $-   ; $200 ; $1.200 ; $200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500135;item 385; $9.400 ; $9.400 ; $9.600 ; $6.600 ; $10.400 ; $20.800 ; $9.200 ; $4.600 ; $1.800 ; $-   ; $200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500154;item 386; $6.600 ; $6.600 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500254;item 387; $32.600 ; $32.600 ; $2.000 ; $800 ; $2.000 ; $400 ; $200 ; $-   ; $-   ; $200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500255;item 388; $32.600 ; $32.600 ; $2.000 ; $800 ; $2.000 ; $400 ; $200 ; $-   ; $-   ; $200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500014;item 389; $200 ; $200 ; $-   ; $-   ; $7.400 ; $14.600 ; $21.600 ; $-   ; $1.600 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500016;item 390; $-   ; $-   ; $-   ; $-   ; $-   ; $600 ; $200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500017;item 391; $22.000 ; $22.000 ; $13.200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500018;item 392; $22.000 ; $22.000 ; $13.200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500019;item 393; $29.400 ; $29.400 ; $44.200 ; $2.200 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
